"empresa"	"titulo_reclamacao"	"status_reclamacao"	"local_reclamacao"	"tempo_reclamacao"	"minutos"
"Carrefour -  Loja Online"	"Falta de informação"	"Resolvido"	"Brasília"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Mercadoria chegou outra diferente do pedido"	"Não Resolvido"	"Brasília"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Falta de comprometimento"	"Não Resolvido"	"São Paulo"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Solicitação de troca de email"	"Não Resolvido"	"Umuarama"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Pagamento não aprovado por falha no site"	"Resolvido"	"Campos dos Goytacazes"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Estorno - Falta de respeito com o cliente"	"Resolvido"	"Montes Claros"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"carrefour não devolve meu dinheiro"	"Resolvido"	"Iturama"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Entrega02"	"Resolvido"	"Rio de Janeiro"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"SOLICITEI CANCELAMENTO DE UMA MERCADORIA QUE COMPREI ON LINE E CARREFOUR NÃO CANCELA A COMPRA"	"Resolvido"	"Rio de Janeiro"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Entrega do Produto Errado"	"Resolvido"	"Rio de Janeiro"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Cancelaram a compra  por vender e não ter o produto em estoque."	"Não Resolvido"	"Brasília"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"ESTÃO ME [editado_RA]"	"Resolvido"	"Embu"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Status não atualiza"	"Resolvido"	"São Paulo"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Pedido não entregue do Carrefour online desde de dezembro 2020"	"Resolvido"	"São Paulo"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Aguardando a Entrega que não se concretizou"	"Resolvido"	"São Paulo"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"PRODUTO NÃO ENTREGUE"	"Não Resolvido"	"Fernandópolis"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Produto não foi enviado"	"Não Resolvido"	"Anápolis"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Não devolução do valor pago em boleto bancário"	"Resolvido"	"Recife"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Fogão quebrado"	"Resolvido"	"São Paulo"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Atraso na entrega"	"Resolvido"	"São Paulo"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Troca ou estorno."	"Não Resolvido"	"Rio de Janeiro"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Não compre site do carrefour"	"Não Resolvido"	"Juiz de Fora"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Produto Não recebido"	"Resolvido"	"Lagoa da Prata"	"Há 1 mês"	43200
"Carrefour -  Loja Online"	"Não entregaram o pedido e não querem devolver o dinheiroheiro"	"Não Resolvido"	"São Paulo"	"Há 1 mês"	43200
"Carrefour -  Loja Online"	"Estorno não pago"	"Resolvido"	"Duque de Caxias"	"Há 1 mês"	43200
"Carrefour -  Loja Online"	"Produto não entregue!"	"Não Resolvido"	"Fortaleza"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Demora no ressarcimento do produto pago à vista"	"Não Resolvido"	"Uruguaiana"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Carrefour- Site enrolação"	"Resolvido"	"Belo Horizonte"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"A grande espera."	"Não Resolvido"	"Rio de Janeiro"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Entrega compra on-line"	"Resolvido"	"São Paulo"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Carrefour não entrega produto da foto do anuncio  e não desativa falso anuncio"	"Não Resolvido"	"Cotia"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Produto enviado errado, não estornam minha compra!!!"	"Resolvido"	"Curitiba"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Compra de mercado atrasda há     07 dias"	"Não Resolvido"	"Vitória"	"Há 1 mês"	43200
"Carrefour -  Loja Online"	"Clique e Retire - não liberam a retirada do produto"	"Resolvido"	"Belo Horizonte"	"Há 1 mês"	43200
"Carrefour -  Loja Online"	"Devolução do meu dinheiro"	"Resolvido"	"Vila Velha"	"Há 1 mês"	43200
"Carrefour -  Loja Online"	"Não reembolsam o valor pago"	"Resolvido"	"Rio Paranaíba"	"Há 1 mês"	43200
"Carrefour -  Loja Online"	"Caixa do celular veio vazia."	"Resolvido"	"S.Miguel do Araguaia"	"Há 1 mês"	43200
"Carrefour -  Loja Online"	"Prazos para coleta de produto enganoso nunca cumpridos, sem nenhum contato"	"Resolvido"	"Rio de Janeiro"	"Há 1 mês"	43200
